product,quantity,cost,listed_price
SUCRE1,50 KG,255000,275000
SUCRE2,150 KG,735000,825000
ENERGIE,10P,375000,480000
APPLE,3P,112500,144000
ORANGE,2P,72000,96000
MALTI PETIT,5P,187500,240000
SOFCARE,2P,160000,200000
PAMPERS MAYA,3P,203000,243000
MAYA 1/2,2P,101500,108000
MAMY LOVE,4P,203000,216000
PARLE-G,2P,210000,240000
CHOCOLATE,2P,120000,144000
CHOCOLATE NITRO,3P,90000,108000
CHOCOLATE GASUKU,2P,56000,100000
WHITDENT 190,,156000,180000
WHITDENT 110,,60000,72000
WHIDENT 70,,117000,144000
KISMART,,37000,48000
ABC DENT,4P,120000,144000
P.MOUCHOIR,4P,80000,120000
KANTA RADIA PT,,40000,48000
KANTA RADIA G,,30000,36000
SUPER GLUE,2P,34000,48000
SANTA LUCIA,,105000,120000
BLUE BAND 250,,45000,54000
BLUE BAND 500,,87000,96000
MAGI,,87500,100000
OSCAR,,85000,108000
SOLIX,,45000,60000
SALSA,,85000,100000
LED GOLD,,41500,50000
LISSA TOMATE,,40000,50000
SAVONOR,,64000,72000
SAV.MUGANGA,3P,138000,180000
JOJO,4P,20000,40000
IVORI,4P,20000,40000
DETOL MIX,2P,36000,42000
BROSSE A DENT SMART,2P,30000,48000
BROSSE A DENT PT,,14000,24000
SALADINE,,36000,48000
ANNY,,39000,45000
SUPER BLUE,,55000,60000
EAU B SAVEUR G,10P,90000,120000
EAU B SAVEUR PT,10P,90000,120000
KINJU G,4P,44000,72000
KANDI PT,5P,47500,60000
KANDIPT G,10P,95000,120000
MALTI G,,36000,48000
FURSANA,5P,170000,240000
VICO,5P,47500,60000
GO-FRESH,5C,45000,62500
GO-FRESH CARTO,2C,26000,33600
SORWATOM,,72500,100000
COCA G,,40000,48000
COCA PT,2P,52000,60000
ATTACK,,57500,144000
BAYGON,,30000,36000
UDI G,4P,18000,24000
MOVIT G,4P,164000,192000
MOVIT M,6P,69000,90000
MOVIT P,2P,22000,31200
TOP,2P,34000,48000
BOMBO SIMPLE,3P,25500,35000
TROPICAL,2P,10000,20000
OMO DOFI G,,82000,100000
OMO DOFI P,,44000,50000
KIRIDA,3P,25500,36000
JEX,4P,20000,36000
AMAJANE,1S,100000,125000
BEST TANGAWIZI,2C,78000,96000
OMO TOSSI,1C,45000,50000
RINGS,2S,36000,48000
MATNAT,2S,48000,60000
ATTACK 2,,57500,144000
EMBE,,40800,60000
ENVELOPPE,,7000,10000
SUPAGETTI 400,,65000,120000
SUPAGETTI 250,,70000,100000
SERVIETTE,1P,78000,100000
AKEZAMUTIMA,,52500,60000
SAVON SHAZA,,106000,120000
BOMBO BIG,,13500,25000
MALTI CAFEE P,,40000,48000
AQUAVI,10B,80000,90000
SACHET,,10000,15000
JIBU PETIT,10B,25000,30000
UBUYI AKARYOSHE,10,60000,65000
LAIT NON EMB 1,,17500,20000
SAV0N SIMPLE,,20000,24000
EAU JIBU G,,35000,40000
LAIT VANILLE G,10,42000,50000
LAIT VANILLE P,20,44000,50000
IFYUFYU,,15500,20000
SUPAGETTI 250,,78000,100000
SUCRE3,75KG,385500,412000
PAIN,,16000,20000
PAIN COUPE,,27000,35000
MIRINDA,,40000,54000
MIEL,,42500,50000
FANTA 1,,78500,96000
FANTA 2,,83000,96000
LUMICASH du 20 AU 30,,750000,769000
SUCRE 4,,1028000,1100000
MAYONAISE,1D,325000,360000
Frais,,50000,
